CNTYVTD,LujanR_18G_State Rep 118,PachecoD_18G_State Rep 118
"0291011",35,153
"0291014",65,386
"0291015",81,386
"0291016",72,358
"0291018",163,677
"0291020",211,752
"0291021",125,525
"0291022",81,289
"0291023",123,728
"0291028",87,294
"0291044",184,705
"0291045",276,1015
"0291046",161,660
"0291047",131,492
"0291048",196,649
"0291049",237,708
"0291050",162,435
"0291051",270,549
"0291052",206,578
"0291053",28,62
"0291054",227,723
"0291056",436,732
"0291057",432,441
"0291058",501,506
"0291059",47,89
"0291063",365,378
"0291065",418,523
"0291066",97,190
"0291089",289,374
"0291097",74,247
"0291102",241,183
"0291105",86,150
"0291107",497,619
"0291115",36,54
"0291117",53,100
"0291123",120,128
"0291124",113,185
"0291127",46,175
"0293087",550,368
"0293103",146,211
"0293105",947,803
"0294057",731,380
"0294058",617,356
"0294071",756,142
"0294072",1179,430
"0294073",390,333
"0294074",464,402
"0294081",116,74
"0294086",140,79
"0294097",389,443
"0294098",375,431
"0294103",0,0
"0294104",396,464
"0294105",576,447
"0294108",744,832
"0294121",59,33
"0294126",435,263
"0294129",33,15
"0294151",232,59
"0294153",28,22
"0294158",78,166
"0294165",35,19
"0294179",788,750
"0294180",2,0
"0294187",0,0
"0294199",187,312
"0294202",0,0
"0294212",2,0
