CNTYVTD,GutierrezD_18G_State Rep 119
"0291004",299
"0291005",251
"0291006",746
"0291007",499
"0291013",835
"0291017",57
"0291019",255
"0291074",5
"0291077",583
"0291078",185
"0291091",774
"0291119",35
"0291120",35
"0292118",13
"0294013",314
"0294016",871
"0294019",776
"0294020",413
"0294023",776
"0294024",904
"0294025",386
"0294026",1104
"0294027",566
"0294028",931
"0294029",722
"0294031",567
"0294032",593
"0294033",1053
"0294034",555
"0294043",960
"0294048",590
"0294054",1170
"0294055",413
"0294056",888
"0294062",236
"0294067",445
"0294068",153
"0294069",309
"0294077",933
"0294078",247
"0294079",396
"0294083",227
"0294084",144
"0294085",2
"0294087",721
"0294089",888
"0294093",754
"0294100",320
"0294101",247
"0294109",273
"0294115",57
"0294116",17
"0294118",19
"0294124",636
"0294130",239
"0294132",807
"0294133",3
"0294136",86
"0294137",16
"0294138",3
"0294140",0
"0294141",82
"0294144",128
"0294148",58
"0294159",3
"0294162",650
"0294164",636
"0294177",18
"0294185",0
"0294188",1
"0294189",278
"0294190",2
"0294191",0
"0294194",193
"0294200",965
"0294201",3
"0294204",3
"0294207",3
"0294208",0
"0294209",6
