CNTYVTD,KacalR_18G_State Rep 12,ArnoldD_18G_State Rep 12
"0410001",1027,190
"0410002",2513,734
"0410003",324,178
"0410005",858,183
"0410006",488,88
"0410007",883,149
"0410023",51,8
"0410027",1705,319
"0410028",212,23
"0410035",0,0
"0410037",95,13
"0410040",2090,986
"0410042",0,0
"0410043",0,0
"0410044",56,9
"0410045",48,15
"0410046",97,71
"0410047",105,84
"0410048",102,28
"0410053",0,1
"0410056",5,3
"0410059",12,3
"0410060",63,7
"0410061",31,8
"0410065",72,15
"0410071",66,13
"0410077",111,82
"0410078",109,18
"0410080A",0,0
"0410081",27,12
"0410082",157,50
"1450101",170,125
"1450104",353,56
"1450105",277,141
"1450201",251,48
"1450203",21,199
"1450204",79,242
"1450301",271,46
"1450302",112,44
"1450303",333,35
"1450304",359,125
"1450403",393,143
"1450404",350,87
"1450405",264,107
"2930101",660,211
"2930102",341,28
"2930103",350,68
"2930104",373,65
"2930201",192,95
"2930202",59,160
"2930203",37,66
"2930204",238,53
"2930205",155,82
"2930206",193,34
"2930301",570,160
"2930302",224,69
"2930303",84,10
"2930304",319,51
"2930305",147,31
"2930401",420,284
"2930402",219,24
"2930403",164,31
"2930404",230,23
"2930405",181,20
"2930406",113,13
"3090002",51,123
"3090005",66,213
"3090006",62,207
"3090009",102,271
"3090010",101,692
"3090012",70,1239
"3090013",28,29
"3090014",49,521
"3090015",95,36
"3090017",256,248
"3090018",93,147
"3090020",32,142
"3090021",66,158
"3090022",65,118
"3090024",316,131
"3090027",74,274
"3090043",97,100
"3090057",286,283
"3090064",377,141
"3090065",496,106
"3090066",633,121
"3090067",1296,264
"3090068",537,115
"3090069",832,115
"3090070",207,18
"3090071",295,95
"3090072",430,123
"3090084",942,303
"3090085",175,216
"3090086",332,580
"3090087",265,367
"3090088",98,91
"3090089",8,17
"3090090",130,100
"3950001",381,326
"3950002",461,282
"3950003",326,41
"3950004",277,33
"3950005",642,209
"3950006",712,153
"3950007",22,23
"3950008",167,16
"3950011",482,137
"3950013",122,12
"3950016",85,10
"3950018",47,6
"3950019",312,37
"3950022",97,447
"3950023",156,153
