CNTYVTD,PayneR_18G_State Rep 120,Gervin-HawkinsD_18G_State Rep 120
"0293205",0,0
"0294003",55,363
"0294004",94,314
"0294005",119,636
"0294007",178,185
"0294008",177,251
"0294009",48,252
"0294010",27,342
"0294011",39,412
"0294012",39,215
"0294030",11,121
"0294035",5,15
"0294036",183,966
"0294037",48,520
"0294039",34,443
"0294040",69,413
"0294041",83,674
"0294042",21,26
"0294044",207,382
"0294045",379,723
"0294047",345,726
"0294049",297,633
"0294050",500,406
"0294051",622,513
"0294052",596,569
"0294053",353,554
"0294059",544,587
"0294060",357,528
"0294061",254,587
"0294063",124,230
"0294064",475,604
"0294065",358,1133
"0294066",485,981
"0294070",365,1105
"0294076",314,820
"0294080",287,593
"0294082",77,540
"0294088",521,1075
"0294090",452,540
"0294091",166,365
"0294092",496,417
"0294106",41,121
"0294107",336,378
"0294110",138,472
"0294111",8,110
"0294112",310,229
"0294113",43,262
"0294114A",11,10
"0294114B",1,1
"0294119",74,254
"0294120",26,58
"0294122",9,42
"0294123",15,57
"0294125",8,25
"0294127",10,10
"0294131",49,107
"0294134",1,3
"0294135",0,0
"0294139",0,0
"0294142",33,194
"0294143",386,1151
"0294145",4,2
"0294146",5,12
"0294150",231,501
"0294152",352,538
"0294154",143,210
"0294156",105,338
"0294160",200,528
"0294161",19,189
"0294163",307,669
"0294166",41,77
"0294167",6,7
"0294168",299,624
"0294175",0,0
"0294178",0,2
"0294182",1,0
"0294183",12,43
"0294184",1,9
"0294186",12,46
"0294192",0,0
"0294193",5,13
"0294195",0,0
"0294196",0,0
"0294198",188,540
"0294203",36,151
"0294206",84,122
