CNTYVTD,AllisonR_18G_State Rep 121,MontoyaD_18G_State Rep 121,OlfersL_18G_State Rep 121
"0293004",0,1,0
"0293007",802,734,23
"0293018",748,508,13
"0293020",921,840,35
"0293021",1360,401,17
"0293022",609,456,16
"0293025",678,487,11
"0293026",668,389,14
"0293027",557,403,15
"0293028",579,512,30
"0293040",615,619,38
"0293046",530,435,24
"0293047",689,568,20
"0293048",531,511,24
"0293049",903,582,16
"0293050",421,278,7
"0293053",677,466,14
"0293059",522,431,16
"0293060",540,583,30
"0293061",431,576,25
"0293062",12,11,3
"0293063",578,617,22
"0293072",1306,895,42
"0293080",396,293,15
"0293081",702,637,23
"0293082",676,661,31
"0293083",547,402,20
"0293084",921,834,54
"0293085",397,351,17
"0293088",1145,768,35
"0293090",1002,772,52
"0293100",798,857,27
"0293104",953,677,42
"0293108",612,353,27
"0293110",809,847,50
"0293114",1067,453,20
"0293117",1140,813,34
"0293118",298,269,11
"0293120",845,921,44
"0293122",713,606,30
"0293124",1020,756,27
"0293131",0,3,0
"0293150",7,9,0
"0293153",471,425,26
"0293154",712,364,23
"0293156",10,7,0
"0293157",909,754,48
"0293159",390,599,25
"0293165",1233,895,51
"0293170",0,0,0
"0293178",0,0,0
"0293180",298,344,15
"0293181",798,470,22
"0293183",9,1,0
"0293207",1,3,0
"0294021",205,306,13
"0294022",24,31,1
"0294038",695,1010,51
"0294046",813,630,20
"0294094",451,457,24
"0294095",413,440,19
"0294096",378,616,21
"0294099",203,332,19
"0294102",81,210,13
"0294117",152,158,7
"0294147",60,83,6
"0294149",64,105,3
"0294169",116,77,3
"0294170",64,102,3
"0294171",346,319,24
"0294172",254,294,21
"0294173",411,428,22
"0294174",229,357,25
"0294176",299,245,7
"0294181",0,0,0
"0294205",27,29,2
"0294210",2,3,1
