CNTYVTD,LarsonR_18G_State Rep 122,BarnettD_18G_State Rep 122
"0293001",1076,784
"0293005",984,437
"0293008",48,14
"0293009",8,2
"0293017A",1129,370
"0293017B",44,15
"0293030",970,509
"0293033",953,409
"0293034",1507,333
"0293039",1554,823
"0293042",939,562
"0293043",1165,497
"0293044",512,417
"0293045",688,342
"0293051",166,90
"0293052",1500,1147
"0293055",1419,396
"0293057",215,161
"0293070",1007,717
"0293073",496,484
"0293074",956,733
"0293075",1510,636
"0293076",673,311
"0293077",948,683
"0293078",1051,733
"0293079",1249,796
"0293086",681,496
"0293089",2056,748
"0293091",506,140
"0293092",1368,500
"0293093",1717,1049
"0293094",1306,748
"0293095",461,842
"0293096A",1297,791
"0293096B",0,0
"0293097",4,0
"0293098",451,346
"0293099",1067,899
"0293101",864,691
"0293102",1242,721
"0293112",280,484
"0293115",849,473
"0293119",1070,1054
"0293121",1361,1096
"0293123",206,113
"0293125A",1279,735
"0293125B",2,1
"0293130",860,360
"0293135",243,285
"0293137",1377,1067
"0293138",32,5
"0293142",62,109
"0293144",69,73
"0293145",1049,760
"0293148",460,283
"0293151",1598,1261
"0293155",858,568
"0293158A",21,10
"0293158B",6,3
"0293160",528,369
"0293163",933,617
"0293164",767,418
"0293168",214,261
"0293169",55,24
"0293173",1152,870
"0293174",1733,926
"0293176",21,17
"0293179",1,1
"0293184",63,40
"0293185A",74,57
"0293185B",17,13
"0293186",1,0
"0293187",0,0
"0293188A",0,0
"0293188B",0,0
"0293189",287,328
"0293190",0,0
"0293191",84,44
"0293193",70,52
"0293194",1416,666
"0293196",6,3
"0293198",212,189
"0293199",1113,686
"0293201",1547,824
"0293202",350,231
"0293203",198,103
