CNTYVTD,BernalD_18G_State Rep 123
"0291001",346
"0291003",880
"0291008",902
"0291010",272
"0291098",284
"0291126",0
"0292001",215
"0292002",380
"0292010",475
"0292018",455
"0292031",449
"0292033",180
"0292034",229
"0292035",705
"0292036",808
"0292038",602
"0292039",594
"0292051",209
"0292052",328
"0292053",439
"0292054",949
"0292055",1053
"0292056",508
"0292057",718
"0292058",730
"0292062",436
"0292064",840
"0292067",137
"0292070",621
"0292073",407
"0292080",462
"0292082",531
"0292085",513
"0292092",148
"0292094",59
"0292100",431
"0292104",92
"0292109",3
"0292110",404
"0292114",748
"0292116",2
"0292117",215
"0292121",161
"0292129",3
"0292131",136
"0292132",1
"0292135",224
"0292137",396
"0292138",358
"0292144",765
"0292146",30
"0292150",3
"0292152",224
"0292155",0
"0293006",415
"0293011",386
"0293013",713
"0293014",194
"0293024",0
"0293031",10
"0293038",472
"0293041",202
"0293064",174
"0293066",732
"0293067",596
"0293068",925
"0293069",1199
"0293071",952
"0293111",2
"0293113",393
"0293132",474
"0293133",0
"0293136",193
"0293161",885
"0293166",206
"0293167",3
"0293171",1
"0293175",238
"0293182",303
"0293204",0
"0293206",55
"0293208",31
"0294001",1019
"0294002",273
"0294006",251
"0294014",134
"0294015",685
"0294017",946
"0294018",546
"0294075",248
"0294128",68
"0294155",1141
"0294157",706
"0294211",20
