CNTYVTD,RodriguezD_18G_State Rep 125,PinaL_18G_State Rep 125
"0291072",652,114
"0291088",267,25
"0292011",590,53
"0292012",418,32
"0292015",494,47
"0292016",338,21
"0292017",295,20
"0292019",480,28
"0292020",716,40
"0292021",782,60
"0292022",434,42
"0292023",1040,91
"0292024",581,75
"0292029",357,29
"0292030",433,34
"0292032",166,19
"0292037",501,201
"0292040",835,126
"0292041",1012,93
"0292042",486,46
"0292049",932,138
"0292050",669,90
"0292061",362,87
"0292066",1322,522
"0292069",952,195
"0292071",200,15
"0292074",253,22
"0292076",751,304
"0292077",809,243
"0292079",183,12
"0292084",1126,533
"0292086",1105,315
"0292087",586,229
"0292089",128,9
"0292090",617,99
"0292099",535,208
"0292103",90,3
"0292108",399,170
"0292112",601,140
"0292126",438,86
"0292128",638,60
"0292130",746,175
"0292139",611,211
"0292140",517,88
"0292141",471,144
"0292143",657,183
"0292151",8,1
"0292157",0,0
"0292159",70,15
"0293003",18,16
"0293016",70,25
"0293023",871,249
"0293032",762,180
"0293037",959,389
"0293054",637,168
"0293127",1163,428
"0293139",495,147
"0293147",922,291
"0293162",403,155
