CNTYVTD,HarlessR_18G_State Rep 126,HurtadoD_18G_State Rep 126
"2010082",1355,661
"2010112",1111,680
"2010113",743,777
"2010125",665,666
"2010451",1439,428
"2010468",428,1405
"2010478",1428,1081
"2010479",1680,631
"2010484",1317,927
"2010493A",596,1097
"2010493B",0,0
"2010496",318,817
"2010513",1372,624
"2010515",1640,506
"2010516",693,800
"2010548",462,701
"2010551",2323,862
"2010592",144,537
"2010597",500,1027
"2010601",1835,836
"2010614",637,1574
"2010615",602,658
"2010623",1230,891
"2010631",1074,623
"2010648",1409,700
"2010668",1199,955
"2010669",1482,765
"2010684",1110,897
"2010694",403,766
"2010788",2,1
"2010823",744,797
"2010868",245,751
"2010873",91,278
"2010884",21,145
"2010977",80,157
"2010998",21,14
