CNTYVTD,HubertyR_18G_State Rep 127,WoodsL_18G_State Rep 127
"2010098",1444,158
"2010199",1774,295
"2010340",1738,366
"2010351",2391,383
"2010357",1628,366
"2010388",1569,728
"2010447",1781,607
"2010459",1939,321
"2010469",1386,197
"2010546",1430,126
"2010563",1714,257
"2010586",1155,371
"2010587",458,353
"2010590",1126,203
"2010599",556,406
"2010612",1631,330
"2010635",1396,291
"2010636",2597,198
"2010658",945,294
"2010659",2214,461
"2010666",0,0
"2010670",1752,246
"2010674",1943,350
"2010747",852,538
"2010756",281,197
"2010758",1989,329
"2010760A",0,0
"2010760B",1111,149
"2010764A",638,197
"2010764B",947,289
"2010776",935,347
"2010841",428,447
"2010885",979,306
"2010911",184,46
"2010964",1478,555
"2010979",0,0
"2011007",206,274
