CNTYVTD,CainR_18G_State Rep 128
"2010012",146
"2010013",929
"2010028",1046
"2010051",727
"2010063",795
"2010097",2061
"2010103",1496
"2010249",872
"2010250",40
"2010352",1613
"2010386",1315
"2010387",1460
"2010414",1286
"2010420",2472
"2010456",910
"2010470",500
"2010471",1040
"2010502",1169
"2010531",1024
"2010532",370
"2010533",222
"2010534",1594
"2010561",906
"2010604",1718
"2010662",2053
"2010665",1244
"2010673",1428
"2010679",1452
"2010682",1782
"2010700",716
"2010704",1568
"2010716",950
"2010739",561
"2010740",201
"2011008",531
