CNTYVTD,PaulR_18G_State Rep 129,KarjekerD_18G_State Rep 129,MajsterskiL_18G_State Rep 129
"2010076",575,643,23
"2010088",295,135,8
"2010090",1723,727,52
"2010091",481,424,24
"2010092",963,622,29
"2010174",1365,876,35
"2010290",632,239,12
"2010306",857,456,14
"2010307",1277,708,38
"2010333",1364,659,41
"2010349",381,294,15
"2010377",1248,461,29
"2010378",538,366,15
"2010391",659,536,18
"2010393",240,327,15
"2010415",963,550,28
"2010416",886,1141,59
"2010417",512,689,22
"2010473",751,422,23
"2010474",1018,621,33
"2010475",358,547,5
"2010476",628,692,15
"2010537",1589,637,12
"2010545",1070,1299,39
"2010568",1327,961,32
"2010654",1423,1448,49
"2010655",1138,1188,43
"2010692",1129,517,35
"2010699",913,584,22
"2010703",850,385,20
"2010715",286,406,6
"2010718",1829,1176,34
"2010721",1054,742,28
"2010724",348,227,11
"2010728",286,235,9
"2010732",640,500,21
"2010742",1084,768,21
"2010744",686,587,26
"2010745",827,653,29
"2010746",133,200,11
"2010748",275,369,19
"2010750",175,171,6
"2010762",594,782,17
"2010782",711,542,19
"2010845",84,51,2
"2010907",2,67,0
"2010920",24,22,1
"2010941",147,218,7
"2010996",216,184,4
