CNTYVTD,LemanR_18G_State Rep 13,WebsterD_18G_State Rep 13
"0150101",573,127
"0150102",631,156
"0150103",793,118
"0150104",398,75
"0150205",928,197
"0150206",299,51
"0150207",214,22
"0150208",369,64
"0150209",321,73
"0150210",385,60
"0150211",201,25
"0150312",358,27
"0150313",236,244
"0150314",1093,299
"0150415",533,184
"0150416",511,147
"0150417",235,103
"0150418",696,120
"0510113",352,52
"0510114",664,230
"0510203",204,55
"0510204",367,56
"0510207",165,86
"0510211",488,106
"0510215",180,42
"0510301",604,160
"0510305",278,67
"0510308",223,59
"0510309",392,82
"0510406",332,227
"0510410",841,205
"0890101",858,311
"0890102",133,30
"0890103",324,46
"0890201",1326,338
"0890202",277,45
"0890302",609,95
"0890303",342,47
"0890304",272,42
"0890305",796,205
"0890401",160,69
"0890402",646,482
"1490002",99,32
"1490003",219,45
"1490004",428,100
"1490005",146,19
"1490006",248,72
"1490007",354,77
"1490008",207,52
"1490009",139,48
"1490010",351,54
"1490011",237,42
"1490012",196,55
"1490013",308,88
"1490014",148,21
"1490015",191,41
"1490016",682,242
"1490017",240,45
"149001E",439,92
"149001N",904,366
"149001W",357,106
"1490020",404,82
"1490021",140,27
"1490022",97,29
"1490023",141,23
"1490024",149,23
"1490025",1064,332
"1490026",288,69
"1850001",980,172
"1850002",414,52
"1850003",156,436
"1850004",630,125
"1850005",609,195
"1850006",634,339
"1850007",467,111
"1850008",234,54
"1850009",188,39
"1850010",767,104
"1850011",137,20
"1850012",380,132
"1850014",699,194
"1850015",233,57
"2850001",526,62
"2850002",712,144
"2850007",142,32
"2850008",412,55
"2850009",660,97
"2850011",177,21
"2850012",191,20
"2850015",93,18
"2850016",266,27
"2850017",187,18
"2850019",224,22
"2850020",51,10
"2850023",654,91
"2850026",89,34
"2850027",112,12
"2850029",578,93
"2850030",765,129
"2850031",607,77
"2850032",150,14
"4770101",454,242
"4770104",212,595
"4770109",530,106
"4770115",408,119
"4770117",4,16
"4770121",27,16
"4770202",69,48
"4770203",866,211
"4770205",1158,322
"4770208",822,111
"4770307",628,197
"4770311",573,112
"4770312",639,97
"4770316",97,32
"4770320",1055,154
"4770406",668,235
"4770410",610,113
"4770413",471,83
"4770414",464,67
"4770418",227,104
"4770419",226,94
