CNTYVTD,OliversonR_18G_State Rep 130,InfortunioD_18G_State Rep 130,EriksenL_18G_State Rep 130
"2010049",1370,810,53
"2010111",2137,1147,69
"2010121",303,186,8
"2010124",3297,1074,97
"2010126",1883,365,37
"2010127",664,254,15
"2010137",768,454,31
"2010173",1981,740,48
"2010245",1418,1003,50
"2010300",2683,989,71
"2010370",1936,931,49
"2010405",1071,405,23
"2010442",2177,589,51
"2010480",1134,600,35
"2010481",1424,579,34
"2010485",1407,676,47
"2010486",1969,683,41
"2010519",1044,558,34
"2010529",1779,349,55
"2010602",546,292,17
"2010640",980,1000,34
"2010641",1112,883,30
"2010688",2020,610,48
"2010691",1806,613,42
"2010713",438,575,21
"2010726",1212,177,25
"2010734",1660,1028,64
"2010768",1188,415,35
"2010805",1388,421,43
"2010806",784,542,26
"2010817",2025,997,34
"2010828",980,298,23
"2010880",1186,498,30
"2010903",1198,450,17
"2010926",437,224,17
"2010980",627,290,13
"2010982",2037,827,58
"2010983",37,66,3
