CNTYVTD,AliR_18G_State Rep 131,AllenD_18G_State Rep 131
"2010131",196,872
"2010216",65,796
"2010286",146,1816
"2010287",487,719
"2010292",73,570
"2010318",113,1842
"2010319",64,1002
"2010332",167,1620
"2010336",281,2742
"2010337",50,395
"2010355",78,850
"2010359",111,879
"2010372",55,549
"2010384",301,1054
"2010402",59,959
"2010458",52,978
"2010462",608,1412
"2010489",267,845
"2010506",285,1717
"2010542",79,1239
"2010555",134,661
"2010556",214,768
"2010565",65,306
"2010627",357,1011
"2010630",211,2852
"2010649",516,1578
"2010652",231,1312
"2010653",42,188
"2010722",127,2013
"2010754",23,396
"2010774",32,130
"2010843",123,643
"2010893",0,1
"2010984",10,87
"2010985",95,116
"2010994",23,71
"2011001",135,535
"2011010",65,406
