CNTYVTD,SchofieldR_18G_State Rep 132,CalanniD_18G_State Rep 132,ArevaloL_18G_State Rep 132
"2010119",2176,742,39
"2010143A",0,0,0
"2010143B",283,223,6
"2010143C",1087,856,25
"2010149",1952,1938,51
"2010305",676,1844,39
"2010331",831,702,24
"2010362",1986,1072,51
"2010509",1616,1175,60
"2010511",2211,1829,47
"2010521",698,949,28
"2010522",1240,559,37
"2010547",909,510,28
"2010589",754,1070,33
"2010598",767,1886,57
"2010603",1322,1295,53
"2010617",557,1471,31
"2010618",699,1211,34
"2010624",311,120,3
"2010639",1053,356,21
"2010644",1272,1167,43
"2010712",634,1430,37
"2010720",1679,1031,70
"2010731A",567,959,25
"2010731B",279,467,11
"2010751",2025,1584,50
"2010785",866,1079,36
"2010796",571,1006,27
"2010813",720,1284,37
"2010877",718,1503,38
"2010879",537,831,26
"2010901",0,0,0
"2010919",0,0,0
"2010923",1732,692,39
"2011009",0,0,0
