CNTYVTD,MurphyR_18G_State Rep 133,SchexnayderD_18G_State Rep 133
"2010095",1108,756
"2010116",1598,710
"2010129",1674,1617
"2010130",1050,534
"2010213",1792,678
"2010234",1992,980
"2010258",1525,769
"2010265",1540,837
"2010273",1263,487
"2010274",838,620
"2010303",1729,688
"2010309",1822,796
"2010312",958,1064
"2010356",943,952
"2010385",1070,465
"2010395",794,481
"2010435",1267,999
"2010436",1273,1285
"2010437",882,559
"2010438",1565,885
"2010439",1440,976
"2010440",1468,627
"2010441",741,387
"2010443",311,154
"2010461",1604,1144
"2010483",1200,1425
"2010491",602,699
"2010492",633,642
"2010499",1090,607
"2010504",927,663
"2010510",801,1301
"2010625",602,589
"2010626",1331,1399
"2010645",877,1710
"2010711",1090,1359
"2011003",0,0
