CNTYVTD,DavisR_18G_State Rep 134,SawyerD_18G_State Rep 134
"2010014",678,623
"2010015",1437,798
"2010018",527,502
"2010038",805,1413
"2010052",750,1008
"2010070",1611,1141
"2010071",1696,2051
"2010087",1417,663
"2010089",523,313
"2010128",1064,594
"2010133",1293,747
"2010135",1408,783
"2010139",1151,1377
"2010148",870,1009
"2010175",1031,792
"2010176",498,390
"2010177",606,607
"2010178",941,440
"2010182",1550,1205
"2010183",1271,589
"2010200",1240,1440
"2010204",1321,1095
"2010214",816,506
"2010215",1012,678
"2010217",1385,695
"2010222",1066,1017
"2010224",784,870
"2010227",1016,302
"2010232",787,536
"2010233",1495,1927
"2010268",1083,636
"2010269",1208,379
"2010281",853,710
"2010304",923,607
"2010315",647,417
"2010316",592,429
"2010317",156,448
"2010350",685,1188
"2010360",1085,1322
"2010361",192,1087
"2010403",719,505
"2010434",591,476
"2010472",357,408
"2010540",562,913
"2010569",1149,1430
"2010570",292,651
"2010632",0,2
"2010710",761,676
"2010730",1005,577
"2010826",128,115
"2010830",0,0
"2010837",0,3
"2010886",256,239
"2010895",316,317
"2010896",515,721
"2010902",923,895
"2010906",11,8
"2010931",45,35
"2010932",0,0
"2010933",96,289
"2010942",78,43
"2010956",0,0
