CNTYVTD,ElkinsR_18G_State Rep 135,RosenthalD_18G_State Rep 135,BilyeuL_18G_State Rep 135
"2010050",1003,1308,33
"2010074",1773,704,37
"2010225",622,1095,32
"2010244",743,963,19
"2010314",1737,1615,56
"2010495",999,622,32
"2010512",746,1459,35
"2010518",1198,1034,32
"2010553",424,872,23
"2010609",1325,1136,34
"2010616",1312,913,52
"2010651",961,1098,35
"2010661",1073,1338,31
"2010667",922,424,22
"2010671",837,868,38
"2010676",451,890,20
"2010687",1066,686,21
"2010709",1138,1305,43
"2010759",822,748,19
"2010789",852,741,16
"2010790",400,977,21
"2010800",1253,990,30
"2010803",1810,1015,54
"2010862A",1043,860,30
"2010862B",65,54,2
"2010862C",91,74,2
"2010862D",0,0,0
"2010875",949,1278,32
"2010881",742,2614,41
"2010898",320,671,24
"2010904",0,0,0
"2010939",0,1,0
"2010951",24,120,1
