CNTYVTD,DaleR_18G_State Rep 136,BucyD_18G_State Rep 136,ParksL_18G_State Rep 136
"4910140",616,674,35
"4910146",865,2155,88
"4910147",602,1443,52
"4910151",502,1072,74
"4910152",409,996,66
"4910160",1143,1511,86
"4910162",505,1109,59
"4910185",350,708,33
"4910186",652,1077,44
"4910189",706,1185,43
"4910190",1683,1539,96
"4910197",785,996,36
"4910198",1162,1462,76
"4910201",1631,1998,72
"4910202",652,459,26
"4910204",1478,1586,66
"4910216",768,794,57
"4910218",735,1192,48
"4910253",1518,1079,79
"4910254",1083,992,72
"4910259",1376,1157,78
"4910263",1374,1182,88
"4910264",1531,1167,90
"4910266",1164,1386,64
"4910273",800,1025,60
"4910274",974,2212,101
"4910275",517,1110,54
"4910277A",1383,1288,72
"4910277B",40,37,2
"4910278",1702,1864,103
"4910283",1339,1454,92
"4910287",1517,1446,100
"4910330",1198,1229,69
"4910331",1324,1008,77
