CNTYVTD,BohacR_18G_State Rep 138,MilasincicD_18G_State Rep 138,WalkerW_18G_State Rep 138
"2010056",535,412,0
"2010120",1258,1039,0
"2010155",1589,1062,2
"2010165",840,659,1
"2010209",0,0,0
"2010260",347,419,0
"2010262",1181,1070,1
"2010264",749,852,2
"2010310",568,351,0
"2010398",901,1201,2
"2010407",1297,1030,1
"2010424",351,388,0
"2010444",1164,1006,1
"2010445",709,576,0
"2010463",628,1288,0
"2010517",798,1197,0
"2010523",1051,822,0
"2010577",638,537,0
"2010621",249,411,0
"2010622",1282,1261,1
"2010642",882,313,0
"2010643",916,1248,2
"2010650",1639,938,0
"2010689",494,791,2
"2010701",91,167,0
"2010707",252,198,0
"2010761",780,397,0
"2010771",239,367,1
"2010804",1542,1750,0
"2010882",633,1712,3
"2010913",23,112,0
"2010973",371,294,1
"2010991",0,0,0
"2010992",225,307,0
"2011006",0,0,0
