CNTYVTD,JohnsonD_18G_State Rep 139,TrojacekL_18G_State Rep 139
"2010073",635,158
"2010109",1116,9
"2010122",795,21
"2010147",1307,45
"2010157",905,19
"2010169",976,14
"2010189",598,182
"2010192",779,30
"2010195",768,30
"2010197",1092,10
"2010322",335,33
"2010324",883,292
"2010327",694,21
"2010364",943,154
"2010365",788,34
"2010367",466,45
"2010383",752,73
"2010448",1107,334
"2010450",993,112
"2010467",502,23
"2010498",881,130
"2010549",1121,26
"2010576",1178,26
"2010578",667,213
"2010593",1382,154
"2010594",1055,94
"2010613",981,44
"2010628",790,72
"2010660",1579,33
"2010678",1125,34
"2010697",1213,71
"2010698",1353,32
"2010717",918,33
"2010723",827,42
"2010757",1956,70
"2010825",6,2
"2010836",128,3
"2010848",827,69
"2010855",1,0
"2010859",370,24
"2010861",775,28
"2010870",0,0
"2010957",270,8
"2010961",820,30
"2010966",0,0
"2010971",0,0
"2010981",15,0
"2010987",482,10
"2010990",5,0
"2010993",0,0
