CNTYVTD,RaneyR_18G_State Rep 14,WilkinsonD_18G_State Rep 14
"0410002",0,0
"0410004",65,516
"0410007",0,0
"0410008",390,435
"0410009",429,340
"0410010",1306,728
"0410011",656,729
"0410012",1578,927
"0410013",874,458
"0410014",272,654
"0410015",1305,520
"0410016",102,326
"0410017",652,782
"0410018",34,188
"0410019",59,58
"0410020",849,1148
"0410021",300,492
"0410022",65,94
"0410024",701,587
"0410025",49,338
"0410026",1305,494
"0410027",0,0
"0410029",356,167
"0410030",474,538
"0410031",1283,1048
"0410032",0,0
"0410033",241,425
"0410034",943,1138
"0410035",1438,2005
"0410036",1011,821
"0410038",7,99
"0410039",1569,1065
"0410041",2316,767
"0410043",4,10
"0410049",46,129
"0410052",9,3
"0410057",28,68
"0410058",235,133
"0410062",1,0
"0410063",2210,792
"0410064",0,0
"0410067",94,36
"0410068",0,0
"0410069A",1815,842
"0410069B",6,3
"0410070",247,201
"0410072",8,6
"0410074",71,140
"0410079",24,18
"0410080A",1474,547
"0410080B",5,2
"0410083",0,0
