CNTYVTD,WalleD_18G_State Rep 140
"2010061",619
"2010077",5
"2010107",707
"2010152",933
"2010185",769
"2010212",412
"2010241",676
"2010254",519
"2010261",450
"2010320",492
"2010321",816
"2010325",743
"2010326",254
"2010366",1078
"2010397",229
"2010408",498
"2010409",510
"2010411",734
"2010423",419
"2010494",1180
"2010571",514
"2010579",362
"2010591",711
"2010595",642
"2010608",146
"2010664",975
"2010677",480
"2010683",106
"2010702",181
"2010714",80
"2010775",30
"2010779",264
"2010780",171
"2010787",186
"2010792",709
"2010835",87
"2010864",824
"2010909",9
"2010910",55
"2010914",28
"2010937",0
"2010959",0
"2010989",0
"2011012",585
