CNTYVTD,ThompsonD_18G_State Rep 141
"2010007",387
"2010035",2
"2010101",212
"2010104",917
"2010106",54
"2010108",866
"2010150",591
"2010151",274
"2010168",191
"2010205",801
"2010230",389
"2010252",963
"2010283A",2464
"2010283B",26
"2010334",255
"2010342",367
"2010358",814
"2010371",213
"2010396",999
"2010401",953
"2010410",342
"2010449",68
"2010454",1007
"2010457",0
"2010497",951
"2010520",1651
"2010574",118
"2010583",459
"2010584",369
"2010585",786
"2010611",949
"2010629",164
"2010656",1155
"2010657",564
"2010705",308
"2010729",151
"2010733",71
"2010737",10
"2010738",415
"2010743",50
"2010767",24
"2010783",274
"2010784",421
"2010794A",611
"2010794B",0
"2010832",117
"2010834",122
"2010840",647
"2010883",2263
"2010894",934
"2010934",5
"2010936",15
"2010958",456
"2010970",210
"2010997",521
