CNTYVTD,DuttonD_18G_State Rep 142
"2010042",389
"2010045",2529
"2010047",547
"2010048",355
"2010083A",1389
"2010083B",25
"2010096",884
"2010115",383
"2010118",1248
"2010138",653
"2010144",443
"2010145",619
"2010159",452
"2010160",261
"2010161",458
"2010171",616
"2010186",315
"2010196",138
"2010201",256
"2010202",529
"2010251",910
"2010253",800
"2010259",1174
"2010344",449
"2010353",1734
"2010363",1516
"2010373",58
"2010374",228
"2010376",640
"2010380",1908
"2010382",257
"2010406",239
"2010412",169
"2010421",854
"2010455",598
"2010460",1509
"2010544",104
"2010562",240
"2010580",369
"2010581",462
"2010582",571
"2010606",337
"2010778",0
"2010797",0
"2010799",66
"2010816",16
"2010818",212
"2010833",5
"2010846",76
"2010847",962
"2010854",60
"2010865",9
"2010866",0
"2010867",0
"2010888",785
"2010889",123
"2010928",3
"2010930",175
"2010940",9
"2010960",815
"2010962",41
"2010963",226
"2010965",37
"2010967",66
"2010968",607
"2010976",166
"2010988",13
