CNTYVTD,HernandezD_18G_State Rep 143
"2010010",703
"2010011",686
"2010062",809
"2010064",804
"2010065",776
"2010069",468
"2010079",1017
"2010080",1068
"2010081",711
"2010141",157
"2010162",407
"2010163",992
"2010164",521
"2010187",92
"2010208",805
"2010220",379
"2010229",258
"2010266",677
"2010354",1407
"2010368",365
"2010375",716
"2010381",1075
"2010413",1250
"2010528",27
"2010530",421
"2010560",376
"2010605",1620
"2010719",410
"2010725",725
"2010741",828
"2010769",67
"2010810",46
"2010811",113
"2010812",0
"2010821",349
"2010824",1068
"2010838",0
"2010857",0
"2010860",0
"2010905",300
"2010935",11
