CNTYVTD,VillarrealR_18G_State Rep 144,PerezD_18G_State Rep 144
"2010066",77,375
"2010084",478,218
"2010093",399,958
"2010094",37,191
"2010099",312,477
"2010100",249,350
"2010102",146,491
"2010170",346,436
"2010181",238,776
"2010188",193,446
"2010190",222,526
"2010191",131,302
"2010221",410,987
"2010242",295,391
"2010248",139,513
"2010267",213,380
"2010277",258,514
"2010278",533,798
"2010279",504,418
"2010301",347,615
"2010302",697,732
"2010346",0,0
"2010394",112,196
"2010404",538,650
"2010419",767,667
"2010527A",72,99
"2010527B",0,0
"2010535",46,110
"2010695",419,345
"2010696",522,390
"2010708",62,142
"2010770",47,73
"2010777",66,151
"2010786",131,359
"2010827",91,257
"2010831",3,7
"2010872",6,7
"2010908",0,2
"2010925",0,0
"2010950A",0,0
"2010950B",0,0
"2010954",0,0
