CNTYVTD,AlvaradoD_18G_State Rep 145,HuntL_18G_State Rep 145
"2010001A",1404,278
"2010001B",0,0
"2010003",815,168
"2010009",826,87
"2010023",165,7
"2010026",943,79
"2010027",1523,132
"2010029",716,50
"2010067",1056,48
"2010072",848,61
"2010142",319,19
"2010154",901,55
"2010172",273,11
"2010203",316,18
"2010211",989,99
"2010218",1209,96
"2010226",964,54
"2010231",873,56
"2010280",531,42
"2010289",546,52
"2010328",422,28
"2010329",591,40
"2010343",902,54
"2010347",944,199
"2010348",419,112
"2010369",111,17
"2010526",275,25
"2010675",0,1
"2010752",320,110
"2010755",1728,170
"2010763",436,27
"2010766",154,3
"2010793",631,105
"2010842",1062,99
"2010856",0,0
"2010871",3,1
"2010890",551,100
"2010892",488,86
"2010918",1,1
"2010924",0,0
"2010929",0,0
"2010945",9,0
"2010946",5,0
"2010972",0,0
"2010999",0,0
"2011005",0,0
