CNTYVTD,ThierryD_18G_State Rep 146,CampbellL_18G_State Rep 146
"2010008",681,131
"2010017",447,57
"2010022",990,64
"2010031",951,20
"2010068",1340,31
"2010132",1072,11
"2010140",1707,109
"2010146",951,137
"2010158",1142,14
"2010180",1085,29
"2010219",1326,34
"2010223",1659,180
"2010243",254,0
"2010255",1052,172
"2010271",1310,14
"2010284",1213,168
"2010291",454,97
"2010293",779,134
"2010294",829,7
"2010295",299,6
"2010311",762,157
"2010392",638,10
"2010422",1441,31
"2010425",237,19
"2010427",354,50
"2010453",754,76
"2010490",872,119
"2010525",1420,114
"2010541",2224,150
"2010554",597,33
"2010564",1541,180
"2010573",592,8
"2010638",870,23
"2010685",52,24
"2010693",293,25
"2010819",54,6
"2010829",44,10
"2010858",132,3
"2010863",180,3
"2010869",134,13
"2010891",574,70
"2010938",84,5
"2010947",362,88
"2010948",0,0
"2010949",73,25
"2010952",27,7
"2010969",318,1
"2010974",0,0
"2010986",143,6
"2010995",855,32
"2011002",488,28
