CNTYVTD,WangR_18G_State Rep 147,ColemanD_18G_State Rep 147
"2010002",369,779
"2010016",415,743
"2010019",252,684
"2010020",325,963
"2010021",161,527
"2010024",59,354
"2010025",17,308
"2010030",512,1390
"2010032",561,1314
"2010033",733,1856
"2010034",366,1720
"2010036",300,968
"2010037",533,1356
"2010039",492,1765
"2010040",157,232
"2010060",430,1607
"2010085",36,867
"2010123",196,775
"2010134",310,538
"2010136",67,1123
"2010156",89,1525
"2010193",25,475
"2010194",358,1198
"2010198",11,179
"2010210",246,1467
"2010228",36,718
"2010235",23,549
"2010236",37,735
"2010237",29,783
"2010238",18,726
"2010239",41,750
"2010240",41,1020
"2010247",26,617
"2010257",289,1029
"2010275",131,595
"2010276",21,1037
"2010285",107,1207
"2010288",20,994
"2010308",158,506
"2010379",123,910
"2010389",80,648
"2010390",106,800
"2010418",523,1059
"2010536",874,1843
"2010538",15,419
"2010607",24,209
"2010680",39,75
"2010681",18,41
"2010749",24,100
"2010791",3,10
"2010798",114,223
"2010801",39,91
"2010802",4,12
"2010808",57,195
"2010815",0,0
"2010820",0,0
"2010822",29,590
"2010849",299,808
"2010850",44,84
"2010887",113,194
"2010921",3,24
"2010922",0,0
