CNTYVTD,McConnicoR_18G_State Rep 148,FarrarD_18G_State Rep 148
"2010004",370,940
"2010005",315,773
"2010043",393,658
"2010044",163,775
"2010046",172,912
"2010053",727,1470
"2010054",470,729
"2010055",597,1226
"2010057",777,1676
"2010058",826,1451
"2010059",687,1302
"2010075",475,845
"2010078",180,589
"2010086",925,1595
"2010105",204,746
"2010117",259,564
"2010153",152,590
"2010166",240,574
"2010167",1,3
"2010179",419,626
"2010184",97,340
"2010206",456,1344
"2010207",184,594
"2010270",1038,1248
"2010299",170,469
"2010313",13,13
"2010323",310,603
"2010330",481,715
"2010339",156,759
"2010341",115,434
"2010446",34,80
"2010501",490,1072
"2010505",833,1426
"2010543",162,602
"2010610",347,658
"2010637",284,1070
"2010663",679,920
"2010736",0,13
"2010795",127,405
"2010809",19,9
"2010844",0,5
"2010852",0,0
"2010900",1,6
"2010917",3,21
"2010927",532,677
"2010953",0,2
"2010966",112,366
"2010975",55,66
"2010978",0,0
"2011004",171,261
"2011011",7,9
