CNTYVTD,TothR_18G_State Rep 15,PerezD_18G_State Rep 15
"3390003",1939,1055
"3390004",663,463
"3390006",1481,711
"3390024",1202,446
"3390031",1999,865
"3390032",892,694
"3390033",1281,636
"3390034",2142,778
"3390035",1994,767
"3390045",1208,532
"3390046",2051,1002
"3390047",1209,859
"3390048",1057,512
"3390049",953,520
"3390056",1239,565
"3390058",1215,460
"3390059",805,304
"3390061",1860,1148
"3390062",1157,631
"3390067",1008,600
"3390068",1873,741
"3390069",1743,927
"3390070",1207,596
"3390071",1867,877
"3390075",2349,1189
"3390076",2290,452
"3390078",2153,955
"3390079",792,438
"3390080",2129,834
"3390081",1725,779
"3390084",1108,966
"3390087",1199,589
"3390088A",2110,1200
"3390088B",63,35
"3390092",1468,951
"3390096A",1468,797
"3390096B",0,0
"3390096C",76,41
