CNTYVTD,SwansonR_18G_State Rep 150,KellyD_18G_State Rep 150
"2010006",917,1174
"2010041",312,509
"2010110",999,926
"2010114",1763,797
"2010246",1365,1108
"2010263",1642,958
"2010399",491,940
"2010452",1459,974
"2010464",724,635
"2010465",759,1183
"2010466",1117,1291
"2010477",1528,953
"2010482",1504,1028
"2010500",1252,967
"2010503",1120,499
"2010514",1570,1011
"2010539",389,465
"2010550",495,818
"2010552",1907,687
"2010575",1046,1104
"2010588",1361,922
"2010596",613,901
"2010633",1587,1042
"2010634",824,805
"2010672",1144,729
"2010690",1593,699
"2010735",143,127
"2010753",95,172
"2010851",1354,884
"2010853",1306,589
"2010874",1377,723
"2010876",1556,953
"2010878",612,255
"2010897",480,617
"2010912",431,358
"2010915",0,0
"2010916",1342,530
"2010955",2730,1555
