CNTYVTD,MetcalfR_18G_State Rep 16,MidlerD_18G_State Rep 16
"3390001",540,316
"3390002",844,282
"3390005",172,21
"3390007",819,170
"3390008",1436,191
"3390009",896,160
"3390010",266,681
"3390012",648,207
"3390016",1432,234
"3390017",1488,292
"3390019",1668,315
"3390020",663,342
"3390021",1361,492
"3390022",2196,465
"3390023",1218,464
"3390027",1623,577
"3390038A",2666,417
"3390038B",6,1
"3390038C",46,7
"3390038D",23,4
"3390038E",1,0
"3390038F",22,4
"3390040",2566,645
"3390041",1498,213
"3390042",322,43
"3390043",2418,504
"3390044",821,386
"3390050",2043,329
"3390051",616,382
"3390052",1118,300
"3390053",1665,407
"3390054",503,157
"3390055",412,111
"3390057",1304,257
"3390060",524,285
"3390063",2872,510
"3390072",2554,346
"3390073",653,280
"3390077",2387,391
"3390083",623,109
"3390085",1486,299
"3390086",2814,463
