CNTYVTD,CyrierR_18G_State Rep 17,RyanD_18G_State Rep 17
"0211001",1222,742
"0211002",703,681
"0211003",2177,1421
"0211004",616,563
"0212005",891,666
"0212006",580,293
"0212007",965,333
"0212008",433,182
"0212009",434,296
"0212010",553,243
"0212011",930,573
"0213012",404,143
"0213013",612,293
"0213014",641,579
"0213015",481,753
"0213016",840,657
"0214017",618,839
"0214018",274,139
"0214019",816,636
"0214020",935,1062
"0214021",500,268
"0550100",121,142
"0550101",188,204
"0550102",293,112
"0550103",740,500
"0550104",204,83
"0550105",25,34
"0550107",0,0
"0550108",27,28
"0550109",12,2
"0550110",38,26
"0550111",279,222
"0550112",0,0
"0550113",0,0
"0550114",0,0
"0550115",0,0
"0550116",0,0
"0550117",0,0
"0550118",48,34
"0550201",301,167
"0550202",407,197
"0550203",434,158
"0550204",583,169
"0550205",149,29
"0550206",260,180
"0550301",265,291
"0550302",368,387
"0550303",251,191
"0550305",156,94
"0550306",77,85
"0550307",0,0
"0550400",24,19
"0550401",126,273
"0550402",301,532
"0550404",341,380
"0550405",360,235
"0550407",2,4
"0550408",4,5
"0550409",13,5
"0550410",0,0
"0550412",55,88
"1770001",995,297
"1770002",513,245
"1770003",513,176
"1770005",284,72
"1770007",216,40
"1770008",160,33
"1770009",284,232
"1770010",211,56
"1770011",129,15
"1770012",77,22
"1770013",167,26
"1770014",53,10
"1770015",185,20
"17704/6",360,139
"2550001",426,346
"2550002",98,12
"2550003",100,4
"2550004",346,182
"2550005",229,125
"2550006",166,15
"2550007",339,37
"2550008",89,34
"2550009",110,26
"2550010",161,17
"2550011",239,85
"2550012",262,109
"2550013",30,1
"2550014",157,211
"2550015",26,16
"2870101",624,227
"2870102",74,58
"2870103",120,14
"2870201",354,22
"2870202",789,139
"2870203",196,29
"2870301",63,8
"2870302",635,167
"2870303",535,175
"2870304",108,32
"2870401",284,109
"2870402",46,34
"2870403",136,34
"2870404",292,124
"2870405",254,56
