CNTYVTD,BailesR_18G_State Rep 18,LemondD_18G_State Rep 18
"2910001",276,42
"2910002",460,68
"2910003",1048,115
"2910004",243,56
"2910005",911,201
"2910006",430,49
"2910007",562,243
"2910008",942,103
"2910009",1116,126
"2910010",1157,327
"2910011",187,223
"2910012",484,154
"2910013",207,60
"2910014",206,42
"2910015",175,51
"2910016",189,22
"2910017",211,59
"2910018",136,407
"2910019",606,246
"2910020",26,342
"2910021",1506,180
"2910022",1195,382
"2910023",599,231
"2910024",321,49
"2910025",439,40
"2910026",817,201
"2910027",142,22
"2910028",313,29
"2910029",525,77
"2910030",571,238
"4070001",1214,272
"4070002",1369,268
"4070003",569,109
"4070004",404,21
"4070005",873,116
"4070006",1001,187
"4070007",914,285
"4070008",466,118
"4070010",303,35
"4070013",308,53
"4070014",261,93
"4710101",86,161
"4710102",1122,835
"4710103",704,250
"4710104",959,183
"4710201",614,533
"4710203",320,57
"4710204",1033,399
"4710205",1509,345
"4710206",306,237
"4710301",438,748
"4710302",214,75
"4710303",260,79
"4710304",1547,387
"4710401",497,789
"4710403",659,186
"4710404",1647,353
