CNTYVTD,WhiteR_18G_State Rep 19,WilliamsD_18G_State Rep 19
"1990001",580,223
"1990002",2108,282
"1990003",292,14
"1990004",395,35
"1990005",266,25
"1990006",2122,257
"1990007",400,27
"1990008",391,44
"1990009",1057,231
"1990010",1065,539
"1990011",426,56
"1990012",455,63
"1990013",1180,90
"1990014",704,64
"1990015",894,126
"1990016",1066,102
"1990017",604,39
"1990018",2955,344
"1990019",513,69
"2410001",25,8
"2410002",382,32
"2410003",478,90
"2410004",373,48
"2410005",85,12
"2410006",431,157
"2410007",217,129
"2410008",283,172
"2410009",912,108
"2410010",811,85
"2410011",249,24
"2410012",264,43
"2410013",240,43
"2410014",1020,194
"2410015",1239,126
"2410016",128,7
"2410017",698,51
"2410019",1036,190
"2410020",327,255
"2410021",575,228
"3510001",428,65
"3510002",144,21
"3510003",322,27
"3510004",79,20
"3510005",259,22
"3510006",241,151
"3510007",93,30
"3510008A",114,36
"3510008B",33,8
"3510009",111,34
"3510010",174,27
"3510011",291,37
"3510012",84,8
"3510013",376,54
"3510014",94,91
"3510015",190,29
"3510016",151,16
"3510017",18,29
"3510018",131,10
"3510019",122,11
"3510020",20,79
"3510021",142,22
"3510022",98,88
"3730001",169,19
"3730002",220,29
"3730003",620,166
"3730004",615,124
"3730005",1046,267
"3730006",1931,360
"3730007",262,85
"3730008",320,126
"3730009",286,68
"3730010",671,295
"3730011",147,39
"3730012",103,26
"3730013",199,14
"3730014",332,45
"3730015",445,56
"3730016",1753,282
"3730017",519,79
"3730018",110,156
"3730019",1386,604
"3730020",1380,615
"3730021",486,130
"4570001",340,60
"4570002",305,147
"4570003",646,158
"4570004",564,75
"4570005",62,40
"4570006",245,27
"4570007",336,22
"4570008",115,7
"4570009",213,22
"4570010",640,75
"4570011",58,1
"4570013",266,38
"4570014",775,88
"4570015",448,51
"4570016",258,30
"4570017",178,56
"4570018",636,83
