CNTYVTD,FlynnR_18G_State Rep 2,BrannonD_18G_State Rep 2
"2230001",930,267
"2230002",521,213
"2230003",649,257
"2230004",623,104
"2230005",233,36
"2230008",128,27
"2230011",340,84
"2230012",157,21
"2230013",368,86
"2230014",459,78
"2230016",533,85
"2230017",543,113
"223001A",756,187
"2230020",292,42
"2230023",131,20
"2230024",358,53
"2230025",173,26
"223002A",317,278
"2230036",440,54
"223003A",673,179
"223004A",748,213
"2310101",496,70
"2310102",575,104
"2310103",360,53
"2310104",474,83
"2310105",236,123
"2310106",534,297
"2310107",1096,421
"2310108",477,264
"2310109",558,112
"2310210",282,90
"2310211",301,71
"2310212",435,196
"2310213",461,60
"2310214",1272,250
"2310215",2294,513
"2310216",981,218
"2310217",764,150
"2310318",347,48
"2310319",799,128
"2310320",843,192
"2310321",547,121
"2310322",365,86
"2310323",1284,230
"2310324",978,246
"2310325",1287,291
"2310426",194,70
"2310427",670,624
"2310428",618,442
"2310429",202,61
"2310430",196,82
"2310431",194,77
"2310432",362,31
"2310433",236,585
"2310434",631,109
"467001A",723,112
"467001B",1151,217
"467001C",699,90
"467001D",526,101
"467001E",293,97
"467002A",1483,188
"467002B",721,95
"467002C",1035,107
"467002D",847,125
"467003A",469,73
"467003B",543,184
"467003C",1189,256
"467003D",1276,163
"467004A",625,101
"467004B",799,124
"467004C",737,134
"467004D",1443,264
"467004E",563,80
