CNTYVTD,WilsonR_18G_State Rep 20,WymanD_18G_State Rep 20
"0530001",730,134
"0530002",1182,396
"0530003",440,174
"0530004",1101,369
"0530005",518,180
"0530006",298,88
"0530007",337,83
"0530008",605,125
"0530009",1345,313
"0530010",676,184
"0530011",222,25
"0530012",779,217
"0530013",424,124
"0530014",280,56
"0530015",347,88
"0530016",257,57
"0530017",909,186
"0530018",481,178
"0530019",1871,487
"0530020",1446,555
"3310101",1039,255
"3310105",498,112
"3310203",196,39
"3310207",174,96
"3310210",261,66
"3310212",600,283
"3310316",318,79
"3310317",548,96
"3310318",872,365
"3310419",609,279
"3310420",855,268
"4910206",1508,463
"4910207",2245,721
"4910267",1735,1005
"4910305",1616,567
"4910309",676,226
"4910310",716,248
"4910311",834,335
"4910312",1677,754
"4910314",842,1052
"4910341",848,428
"4910342",181,318
"4910343",1715,1057
"4910344",1966,793
"4910345",1295,484
"4910370",1712,1072
"4910371",1089,522
"4910379",2303,902
"4910381",1834,895
"4910392",2545,1094
"4910393",1348,520
"4910394",2297,1059
"4910395",1673,569
"4910396",2230,1061
"4910415",740,314
"4910425",223,125
"4910434",1458,403
"4910436",361,125
