CNTYVTD,PhelanR_18G_State Rep 21
"2450009",2042
"2450024",234
"2450025",972
"2450026",1006
"2450029",898
"2450030",605
"2450031",665
"2450032",102
"2450033",787
"2450035",420
"2450036",688
"2450037",1138
"2450038",1120
"2450040",1376
"2450041",67
"2450042",1163
"2450043",1002
"2450044",186
"2450045",166
"2450046",168
"2450047",214
"2450056",1581
"2450058",24
"2450060",1341
"2450061",516
"2450066",663
"2450069",1328
"2450070",457
"2450074",1449
"2450080",120
"2450083",580
"2450091",378
"2450095",213
"2450096",55
"2450098",150
"2450101",1
"2450102",72
"2450104",45
"2450105",29
"2450106",11
"2450108",247
"3610001",115
"3610002",231
"3610003",138
"3610004",23
"3610005",441
"3610006",805
"3610007",669
"3610008",1044
"3610009",860
"3610010",305
"3610011",197
"3610012",449
"3610013",427
"3610014",611
"3610015",782
"3610016",1168
"3610017",799
"3610018",859
"3610019",688
"3610020",572
"3610021",114
"3610022",566
"3610023",1238
"3610024",679
"3610025",726
"3610026",964
"3610027",914
"3610028",1494
"3610029",474
"3610030",464
"3610031",1103
"3610032",930
"3610033",638
"3610034",655
