CNTYVTD,DeshotelD_18G_State Rep 22
"2450001",736
"2450002",401
"2450003",826
"2450004",472
"2450005",528
"2450006",482
"2450007",499
"2450008",300
"2450010",224
"2450011",148
"2450012",230
"2450013",173
"2450014",588
"2450015",493
"2450016",155
"2450017",898
"2450018",699
"2450019",602
"2450020",443
"2450021",69
"2450022",1439
"2450023",996
"2450027",456
"2450028",351
"2450034",856
"2450039",958
"2450048",310
"2450049",142
"2450050",852
"2450051",140
"2450052",220
"2450053",577
"2450054",211
"2450055",162
"2450057",325
"2450059",458
"2450062",704
"2450063",630
"2450064",361
"2450065",475
"2450067",988
"2450068",718
"2450071",21
"2450072",844
"2450073",666
"2450075",356
"2450076",300
"2450077",584
"2450078",707
"2450079",614
"2450081",330
"2450082",744
"2450084",563
"2450085",694
"2450086",358
"2450087",486
"2450088",405
"2450089",158
"2450090",20
"2450092",320
"2450093",269
"2450094",546
"2450097",0
"2450099",241
"2450100",874
"2450103",4
"2450107",0
"2450109",42
