CNTYVTD,MiddletonR_18G_State Rep 23,JamrokD_18G_State Rep 23,JohnsonL_18G_State Rep 23
"0710001",288,51,9
"0710002",280,117,6
"0710003",170,96,6
"0710004",1770,233,39
"0710005",1206,176,22
"0710006",850,233,4
"0710007",951,180,19
"0710008",2171,289,52
"0710009",156,24,3
"0710010",2042,302,34
"0710011",930,269,19
"0710012",521,178,4
"0710013",0,0,0
"0710014",196,32,1
"0710015",685,416,16
"1670103",561,149,9
"1670104",436,93,7
"1670105",83,72,14
"1670142",657,563,28
"1670146",913,602,33
"1670148",1116,684,44
"1670150",798,459,20
"1670151",1193,392,37
"1670159",1230,706,59
"1670165",1825,796,66
"1670168",0,0,0
"1670169",1,0,0
"1670172",222,61,4
"1670197",273,123,9
"1670218",885,971,40
"1670219",620,591,31
"1670221",973,365,23
"1670223",792,837,40
"1670224",936,869,49
"1670232",520,509,23
"1670274",421,124,12
"1670275",192,73,4
"1670276",711,538,41
"1670301",256,403,13
"1670306",1029,1545,81
"1670309",43,21,1
"1670311",86,386,6
"1670312",5,33,1
"1670314",472,1445,55
"1670315",645,1241,63
"1670316A",335,740,26
"1670316B",0,0,0
"1670330",411,806,23
"1670331",238,941,24
"1670336",231,1856,21
"1670338",642,1109,30
"1670343",321,481,17
"1670345",39,292,10
"1670347",146,394,11
"1670394",7,14,1
"1671051",154,169,15
"1672321",0,0,0
"1672322",0,0,0
"1672323",238,30,5
"1673061",0,1,0
"1673311",79,101,4
