CNTYVTD,BonnenR_18G_State Rep 24,PhelpsD_18G_State Rep 24,IllyesL_18G_State Rep 24
"1670144",846,394,28
"1670152",2021,836,62
"1670166",1121,515,49
"1670167",2222,900,63
"1670170",1207,495,35
"1670192",209,105,6
"1670193",979,447,51
"1670220",1819,1102,54
"1670225",1420,378,34
"1670226",875,393,25
"1670227",1349,313,31
"1670228",1580,292,37
"1670258",1029,190,14
"1670263",2756,1195,94
"1670277",1118,212,14
"1670278",1236,259,19
"1670279",552,110,16
"1670280",146,109,5
"1670281",87,28,0
"1670283",1139,662,37
"1670334",98,497,10
"1670340",28,262,1
"1670341",257,288,9
"1670389",97,200,2
"1670391",27,25,3
"1670398",101,144,1
"1670399",56,67,5
"1670401",0,0,0
"1670439",1280,590,40
"1670453",1824,891,56
"1670454",1514,870,59
"1670455",677,365,18
"1670456",1777,450,35
"1670457",2102,582,61
"1670460",2598,635,60
"1670461",1778,503,43
"1670462",2300,656,61
"1670464",1230,488,40
"1670471",814,522,30
"1670482",97,7,4
"1670487",2308,1052,82
"1670488",1506,720,51
"1670490",1853,835,60
"1671651",0,0,0
"1672801",0,0,0
"1673301",0,0,0
"1674391",12,2,0
