CNTYVTD,BonnenR_18G_State Rep 25
"0390001",1526
"0390002",1715
"0390004",1417
"0390005",830
"0390007",425
"0390008",482
"0390009",321
"0390010",468
"0390014",2247
"0390015",1271
"0390017",616
"0390019",474
"0390020",706
"0390021",1393
"0390022",2015
"0390023",1709
"0390024",1980
"0390030",1616
"0390031",550
"0390032",1200
"0390033",823
"0390038",354
"0390042",252
"0390043",1795
"0390045",1593
"0390048",1036
"0390049",834
"0390055",1318
"0390056",1906
"0390064",16
"3210002",369
"3210004",630
"3210005",841
"3210006",670
"3210007",111
"3210008",368
"3210009",62
"3210010",188
"3210012",122
"3210013",159
"321001A",1199
"321001B",1236
"321001C",164
"321001D",308
"321001E",402
"321001F",234
"321003A",606
"321003B",338
