CNTYVTD,MillerR_18G_State Rep 26,DeMerchantD_18G_State Rep 26
"1571001",785,394
"1571073",464,209
"1571087",842,433
"1571103",2153,1029
"1571120",1401,661
"1571128",1522,683
"1572043",95,312
"1572099",591,1259
"1573009",1477,621
"1573032",430,986
"1573041",898,340
"1573063",1550,491
"1573098",481,847
"1573104",2055,871
"1573113",401,2278
"1574011",601,415
"1574020",1307,635
"1574026",983,929
"1574029",883,379
"1574035",476,559
"1574042",478,197
"1574045",467,597
"1574046",936,1007
"1574047",251,270
"1574064",353,290
"1574079",140,120
"1574080",375,415
"1574084",522,462
"1574086",373,888
"1574105",542,551
"1574107",865,494
"1574110",768,737
"1574111",431,377
"1574119",1343,767
"1574121",168,236
"1574124",813,1441
"1574125",735,1494
"1574129",1769,1973
"1574131",678,503
"1574135",1631,2372
"1574140",1118,869
"1574158",353,939
