CNTYVTD,ReynoldsD_18G_State Rep 27
"1571094",4
"1571097",1532
"1571109",272
"1571114",2051
"1571118",1684
"1571134",1536
"1571153",1153
"1572016",1300
"1572017",1292
"1572022",1042
"1572023",1059
"1572031",1368
"1572033",509
"1572034",1981
"1572036",538
"1572050",1663
"1572051",1257
"1572052",1244
"1572055",542
"1572056",284
"1572059",1184
"1572060",1390
"1572061",1551
"1572070",510
"1572075",977
"1572077",976
"1572078",258
"1572081",539
"1572088",1064
"1572089",750
"1572090",258
"1572091",301
"1572092",335
"1572093",179
"1572096",965
"1572108",2409
"1572112",116
"1572115",736
"1572116",1167
"1572123",936
"1572136",134
"1572137",187
"1572138",185
"1572139",27
"1572151",992
"1572157",1211
"1573053",0
"1573069",155
"1574027",0
"1574028",814
"1574030",870
"1574049",1467
"1574062",1425
"1574127",1071
