CNTYVTD,ZerwasR_18G_State Rep 28,ScogginsD_18G_State Rep 28
"1571008",434,109
"1571054",128,80
"1572066",421,1827
"1572100",401,911
"1572101",390,1319
"1572106",487,1656
"1573004",1607,932
"1573005",1752,490
"1573006",3097,1408
"1573014",2039,941
"1573019",469,140
"1573038",1819,1316
"1573057",1619,1065
"1573083",761,1635
"1573095",828,843
"1573122",1765,743
"1573130",1557,1098
"1573132",1628,1191
"1573133",1572,755
"1573142",1385,1029
"1573143A",641,496
"1573143B",7,5
"1573143C",62,47
"1573143D",74,59
"1573143E",211,164
"1573143F",265,205
"1573143G",309,239
"1573143H",310,240
"1573143I",122,94
"1573144",1674,973
"1573145",800,636
"1573146",1855,1594
"1573148",2957,1539
"1573149",2570,592
"1573150",991,2392
"1573156",1201,381
"1573159",837,711
"1573160",424,424
"1574071",100,165
"1574082",2110,1458
"1574117",1022,1730
"1574126",735,1261
"1574147",640,1709
"1574155",338,982
