CNTYVTD,ThompsonR_18G_State Rep 29,PresleyD_18G_State Rep 29
"0390003",2004,0
"0390006",659,0
"0390011",1226,0
"0390012",1395,0
"0390013",1761,0
"0390016",1693,0
"0390025",857,0
"0390026",1293,0
"0390027",988,0
"0390028",2513,0
"0390029",1047,0
"0390034",1814,0
"0390035",813,0
"0390036",1943,0
"0390039",1481,0
"0390040",2264,0
"0390044",1984,0
"0390046",1056,0
"0390047",1033,0
"0390050",2078,0
"0390051",1800,0
"0390052",1398,0
"0390053",508,0
"0390054",916,0
"0390057",1458,0
"0390058",691,0
"0390059",1529,0
"0390060",2016,0
"0390061",2634,0
"0390062",1210,0
"0390063",893,0
"0390067",903,0
"0390068",952,0
