CNTYVTD,BellR_18G_State Rep 3,SegerD_18G_State Rep 3
"3390011",775,197
"3390013",2607,448
"3390014",1429,603
"3390015",2265,531
"3390018A",2115,461
"3390018B",1,0
"3390025",1248,231
"3390026",659,204
"3390028",1513,265
"3390029A",1844,336
"3390029B",113,20
"3390029C",201,36
"3390030A",1990,327
"3390030B",50,7
"3390030C",101,17
"3390030D",78,13
"3390036",1104,293
"3390037",911,326
"3390039",2364,349
"3390064",684,205
"3390065",2419,410
"3390066",1722,309
"3390074",978,292
"3390082",2266,804
"3390089A",2738,599
"3390089B",33,7
"3390089C",6,0
"3390090",2403,463
"3390090B",8,0
"3390090C",13,1
"3390091A",767,104
"3390093",1280,451
"3390094",469,255
"3390095",1155,752
"4730101",705,266
"4730102",437,367
"4730103",356,271
"4730104",233,114
"4730105",390,81
"4730206",1314,239
"4730207",1589,229
"4730208",523,222
"4730309",37,1605
"4730310",167,714
"4730311",310,129
"4730312",818,154
"4730313",195,94
"4730414",92,109
"4730415",620,212
"4730416",306,315
"4730417",181,352
"4730418",1238,331
"4730419",118,35
"4730420A",681,197
"4730420B",0,0
