CNTYVTD,MorrisonR_18G_State Rep 30,HayterD_18G_State Rep 30
"0070001",939,222
"0070002",1037,483
"0070003",1949,556
"0070004",1761,491
"007001A",550,148
"007004A",560,130
"0570001",45,96
"0570002",143,186
"0570003",12,16
"0570004",126,87
"0570005",113,33
"0570006",212,60
"0570007",125,126
"0570008",66,106
"0570009",10,12
"0570010",42,27
"0570011",146,49
"0570012",569,169
"0570013",8,9
"0570014",45,34
"0570015",50,42
"0570016",335,174
"0570017",229,119
"0570018",139,50
"0570019",270,47
"0570020",19,12
"0570021",56,21
"0570022",123,31
"0570023",136,37
"0570024",634,118
"0570025",514,70
"1230101",693,112
"1230102",154,217
"1230201",237,28
"1230202",481,95
"1230203",452,57
"1230301",687,83
"1230302",520,87
"1230303",198,39
"1230401",1014,205
"1230402",641,60
"1750011",267,194
"1750012",226,28
"1750021",295,182
"1750022",85,38
"1750031",366,82
"1750032",364,37
"1750041",188,28
"1750042",340,38
"1750043",198,26
"3910001",91,92
"3910002",399,99
"3910003",293,86
"3910004",44,130
"391001A",102,138
"391002A",112,16
"391002B",110,46
"391003A",270,71
"391004A",137,90
"391004B",74,44
"4690001",77,117
"4690002",307,187
"4690003",431,185
"4690004",188,267
"4690005",507,437
"4690006",42,53
"4690007",262,471
"4690008",420,346
"4690009",294,171
"4690010",613,265
"4690011",211,46
"4690012",141,121
"4690013",244,211
"4690014",542,162
"4690015",67,14
"4690016",210,33
"4690017",162,90
"4690018",1668,348
"4690019",857,456
"4690020",703,117
"4690021",1847,433
"4690022",971,95
"4690023",818,127
"4690024",832,92
"4690025",1404,560
"4690026",486,121
"4690027",908,57
"4690028",256,31
"4690029",1274,342
"4690030",189,78
"4690031",198,120
"4690032",209,251
"4690033",2163,505
"4690034",103,219
"4690035",48,93
