CNTYVTD,GuillenD_18G_State Rep 31
"0130001",180
"0130002",311
"0130003",376
"0130004",39
"0130005",460
"0130006",28
"0130007",403
"0130008",160
"0130009",43
"0130010",340
"0130011",25
"0130012",340
"0130013",666
"0130014",113
"0130015",522
"0130016",86
"0130017",658
"0130018",421
"0130019",116
"0130020",972
"0130021",47
"0130022",181
"0130023",175
"0130024",451
"0470001",142
"0470002",236
"0470003",299
"0470004",70
"0470005",32
"0470006",314
"0470007",52
"0470008",237
"0470009",165
"1310001",762
"1310002",579
"1310003",237
"1310004",63
"1310005",170
"1310006",60
"1310007",47
"1310008",778
"1310009",484
"2470001",290
"2470002",322
"2470003",271
"2470004",348
"2470005",7
"2610001",27
"2610002",32
"2610003",13
"2610004",18
"2610005",6
"2610006",12
"2830001",288
"2830002",143
"2830003",211
"2830004",16
"2830005",194
"2830006",109
"283003A",3
"2970001",53
"2970002",117
"2970003",200
"2970004",143
"2970005",45
"2970006",49
"2970007",9
"2970008",23
"2970009",192
"2970010",69
"2970011",9
"2970012",21
"2970013",65
"2970014",162
"3110001",31
"3110003",35
"311002A",18
"311002B",18
"311004A",11
"311004B",20
"4270001",760
"4270002",1082
"4270003",531
"4270004",202
"4270005",44
"4270006",2654
"4270007",319
"4270008",776
"4270009",886
"4270010",1649
"4890001",431
"4890002A",18
"4890002B",482
"4890003",267
"4890004",440
"4890005",229
"4890006",156
"4890007",345
"4890008",243
"4890009",264
"4890010",59
"4890011",156
"4890012",31
