CNTYVTD,HunterR_18G_State Rep 32
"3550002",882
"3550004",648
"3550006",1287
"3550008",1640
"3550017",860
"3550018",850
"3550019",1521
"3550020",782
"3550026",1997
"3550030",15
"3550031",76
"3550032",625
"3550033",87
"3550038",58
"3550039",162
"3550040",2040
"3550042",210
"3550050",169
"3550057",173
"3550058",487
"3550059",538
"3550062",127
"3550063",1089
"3550064",494
"3550065",1490
"3550066",454
"3550067",1424
"3550068",220
"3550070",567
"3550081",1911
"3550084",200
"3550085",65
"3550086",286
"3550088",820
"3550089",164
"3550090",224
"3550091",1095
"3550092A",725
"3550092B",33
"3550093",532
"3550109",186
"3550114",95
"3550115",686
"3550117",1219
"3550118",757
"3550119",1266
"3550120",714
"3550122",1317
"3550124",1121
"3550125",1964
"3550126",1220
"3550127",787
