CNTYVTD,HollandR_18G_State Rep 33,GunnD_18G_State Rep 33
"0850011",1531,397
"0850017",941,591
"0850018",364,92
"0850029",673,281
"0850030",1822,1201
"0850037",925,151
"0850042",675,196
"0850087",1779,1979
"0850092",853,839
"0850093",130,18
"0850101",1142,919
"0850111",1715,1039
"0850117",1195,1094
"0850118",1596,908
"0850127",1094,984
"0850134A",1333,1467
"0850134B",4,4
"0850134C",0,0
"0850146",1315,1248
"0850154",486,73
"0850160",195,25
"0850177",1301,1048
"0850181",549,295
"0850182",1,3
"0850183",49,7
"0850184",0,0
"0850185",18,15
"0850186",52,7
"0850192",745,196
"0850199",664,193
"0850201",2,1
"0850209",257,200
"0850212",985,1042
"0850220",823,939
"0850225",960,1074
"3970001",2352,940
"3970002",1924,697
"3970003",138,136
"3970004",1219,301
"397001A",1398,715
"397001B",2780,844
"397001C",1617,472
"397002A",1863,839
"397002B",760,403
"397002C",2721,693
"397003A",346,381
"397003B",984,711
"397003C",1531,301
"397003D",3182,837
"397004A",3013,1454
"397004B",543,259
"397004C",1300,465
