CNTYVTD,HaleR_18G_State Rep 34,HerreroD_18G_State Rep 34
"3550001",236,301
"3550003",971,1074
"3550005",482,471
"3550007",41,201
"3550009",501,378
"3550010",422,213
"3550011",118,172
"3550012",165,377
"3550013",40,361
"3550014",133,51
"3550015",163,156
"3550016",202,143
"3550021",134,68
"3550022",74,114
"3550023",883,328
"3550024",44,205
"3550025",141,67
"3550027",93,148
"3550028",89,26
"3550029",917,880
"3550034",42,106
"3550035",26,279
"3550036",111,238
"3550037",98,459
"3550041",22,80
"3550043",32,145
"3550044",32,210
"3550045",19,117
"3550046",14,63
"3550047",19,68
"3550048",242,432
"3550049",294,187
"3550051",234,454
"3550052",55,239
"3550053",60,224
"3550054",77,535
"3550055",61,393
"3550056",68,244
"3550060",36,275
"3550061",19,219
"3550069",221,528
"3550071",96,422
"3550072",178,414
"3550073",77,425
"3550074",64,462
"3550075",84,539
"3550076",33,170
"3550077",5,84
"3550078",81,471
"3550079",61,305
"3550080",53,457
"3550082",47,123
"3550083",67,272
"3550087",211,402
"3550094",356,533
"3550095",68,234
"3550096",74,248
"3550097",78,299
"3550098",92,542
"3550099",29,134
"3550100",187,264
"3550101",658,730
"3550102",356,360
"3550103",571,507
"3550104",25,259
"3550105",22,355
"3550106",476,645
"3550107",1577,858
"3550108",52,190
"3550110",314,288
"3550111",221,222
"3550112",533,657
"3550113",23,128
"3550116",842,1153
"3550121",291,432
"3550123",532,433
