CNTYVTD,LongoriaD_18G_State Rep 35
"0610026",689
"0610027",702
"0610028",376
"0610032",646
"0610034",61
"0610035",344
"0610039",304
"0610042",296
"0610055",934
"0610056",507
"0610057",159
"0610058",817
"0610064",647
"0610078",770
"0610080",1085
"0610084",546
"0610087",457
"2150011",880
"2150016",1196
"2150017",728
"2150018",78
"2150019",78
"2150024",29
"2150033",653
"2150041",861
"2150050",874
"2150051",992
"2150057",239
"2150064",577
"2150074",239
"2150075",22
"2150076",4
"2150079",380
"2150080",359
"2150089",4
"2150092",75
"2150125",264
"2150129",54
"2150131",10
"2150133",23
"2150145",324
"2150165",225
"2150166",147
"2150167",186
"2150169",187
"2150170",246
"2150179",107
"2150180",54
"2150182",201
"2150184",5
"2150190",128
"2150194A",460
"2150194B",53
"2150194C",23
"2150194D",39
"2150195",221
"2150197",210
"2150198A",71
"2150198B",46
"2150198C",40
"2150198D",53
"2150198E",25
"2150198F",0
"2150206",391
"2150207",849
"2150209",194
"2150213",63
"2150230",194
"2150241",83
"2150244",211
"2150250",39
"2150254",46
"2150256",86
"2150257",185
