CNTYVTD,MunozD_18G_State Rep 36
"2150005",700
"2150006",574
"2150009",1069
"2150010",716
"2150012",114
"2150020",341
"2150025",759
"2150026",265
"2150027",270
"2150028",721
"2150029",240
"2150035",1039
"2150036",1163
"2150047",436
"2150048",905
"2150049",797
"2150063",187
"2150078",707
"2150082",3
"2150093",53
"2150094",582
"2150095",1031
"2150098",1189
"2150100",1038
"2150103",1017
"2150115",935
"2150122",1000
"2150128",709
"2150137",15
"2150138",125
"2150146",503
"2150147",35
"2150185",0
"2150187",757
"2150193",123
"2150203",1198
"2150204",172
"2150210",120
"2150215",311
"2150226",13
"2150227",870
"2150228",2109
"2150231",88
"2150233",1
"2150234",971
