CNTYVTD,DominguezD_18G_State Rep 37
"0610001",468
"0610002",123
"0610003",655
"0610005",166
"0610006",333
"0610007",119
"0610008",141
"0610009",549
"0610010",439
"0610012",691
"0610013",170
"0610014",619
"0610015",638
"0610020",312
"0610037",388
"0610038",250
"0610045",520
"0610046",1041
"0610047",267
"0610049",178
"0610052",531
"0610053",786
"0610059",146
"0610060",223
"0610061",665
"0610063",557
"0610065",699
"0610066",1091
"0610067",786
"0610068",569
"0610069",976
"0610070",287
"0610071",907
"0610076",358
"0610077",766
"0610082",565
"0610083",294
"0610086",373
"0610096",413
"0610097",196
"0610099",91
"0610101",234
"0610102",568
"0610107",166
"0610108",0
