CNTYVTD,LucioD_18G_State Rep 38
"0610004",1005
"0610011",526
"0610016",297
"0610017",953
"0610018",632
"0610019",488
"0610021",627
"0610022",633
"0610023",52
"0610024",330
"0610025",221
"0610029",700
"0610030",265
"0610031",87
"0610033",158
"0610036",565
"0610040",600
"0610041",1081
"0610043",289
"0610044",908
"0610048",426
"0610050",1194
"0610051",259
"0610054",1439
"0610062",912
"0610072",1040
"0610073",1268
"0610074",1121
"0610075",858
"0610079",820
"0610081",426
"0610085",323
"0610095",248
"0610098",1722
"0610100",1636
"0610103",92
"0610104",50
"0610105",22
"0610106",746
"0610109",0
