CNTYVTD,MartinezD_18G_State Rep 39
"2150001",207
"2150002",574
"2150003",375
"2150004",1506
"2150021",130
"2150022",228
"2150023",659
"2150032",841
"2150039",582
"2150040",639
"2150042",1027
"2150044",308
"2150045",526
"2150046",98
"2150055",856
"2150056",944
"2150059",593
"2150071A",37
"2150071B",14
"2150077",552
"2150085",1073
"2150091",252
"2150110",322
"2150111",864
"2150112",541
"2150113",1293
"2150114",1274
"2150117",1142
"2150118",596
"2150120",754
"2150121",56
"2150123",315
"2150126",491
"2150127",325
"2150130",276
"2150132",304
"2150155",195
"2150156",658
"2150157",389
"2150159",126
"2150171",11
"2150172",11
"2150173",364
"2150174",306
"2150175",422
"2150176",346
"2150177A",155
"2150177B",35
"2150178",7
"2150181",210
"2150186",70
"2150191",154
"2150192",107
"2150196",282
"2150202",242
"2150229",276
"2150232",326
"2150235",100
"2150238",33
"2150242",10
"2150245A",66
"2150245B",11
"2150249",126
"2150251",6
"2150253",131
"2150255",73
