CNTYVTD,BellR_18G_State Rep 4,WilliamsD_18G_State Rep 4,MillerL_18G_State Rep 4
"2130002",284,59,10
"2130003",179,352,8
"2130004",1437,346,30
"213002E",939,149,31
"213003B",1261,174,27
"213003C",2002,352,33
"213003M",634,110,8
"213003N",846,137,8
"213004A",226,122,11
"213004W",496,84,11
"21301CR",1193,174,20
"21301MN",544,148,10
"21303WS",640,108,13
"21304BV",393,78,4
"21304CC",689,198,9
"21304MS",112,137,8
"21304PF",231,47,6
"21304SE",1539,290,20
"2132GBN",1241,309,25
"2132GBS",790,178,15
"2132PSN",1215,291,21
"2132PSS",650,108,7
"2134NYL",500,57,3
"2570001",880,434,17
"2570002",523,132,10
"2570003",1781,693,65
"2570004",1862,576,41
"2570005",291,675,9
"2570006",918,185,22
"2570007",1695,1150,62
"2570008",561,351,19
"2570009",732,179,17
"2570010",1132,180,15
"2570011",813,287,24
"2570012",784,135,19
"2570013",958,675,42
"2570014",1163,683,44
"2570015",1150,206,16
"2570016",1250,211,15
"2570017",936,142,5
"2570018",976,207,20
"2570019",1005,323,28
"2570020",580,165,17
"2570021",965,172,13
"2570022",579,87,8
"2570023",457,127,10
"2570024",554,192,14
"2570025",292,159,5
"2570026",142,453,9
"2570027",1472,577,45
"2570028",645,136,17
"2570029",811,914,38
"2570030",721,167,25
