CNTYVTD,CanalesD_18G_State Rep 40
"2150013",1356
"2150014",490
"2150015",170
"2150030",1334
"2150031",520
"2150043",1319
"2150053",1973
"2150058",927
"2150060",804
"2150061",616
"2150068",990
"2150069",919
"2150070",449
"2150087",909
"2150090",1670
"2150104",741
"2150105",1098
"2150107",884
"2150108",817
"2150109",1046
"2150119",350
"2150142",9
"2150143",2
"2150144",9
"2150151",142
"2150152",699
"2150153",96
"2150154",756
"2150158",982
"2150189",326
"2150221",428
"2150222",4
"2150223",132
"2150225",95
"2150237",294
"2150239",646
"2150240",250
