CNTYVTD,Garza DeShazoR_18G_State Rep 41,GuerraD_18G_State Rep 41
"2150007",529,874
"2150008",378,410
"2150034",129,280
"2150037",124,268
"2150038",589,871
"2150052",779,1335
"2150054",334,411
"2150062",801,926
"2150065",125,259
"2150066",146,362
"2150067",363,634
"2150072",198,389
"2150073",725,766
"2150081",823,1357
"2150083",824,915
"2150084",124,259
"2150086",116,170
"2150088",314,1034
"2150096",631,788
"2150097A",265,610
"2150097B",17,39
"2150099",369,1238
"2150101",279,257
"2150102",287,253
"2150106",911,1554
"2150116",215,458
"2150124",304,401
"2150134",552,593
"2150135",305,450
"2150136",299,504
"2150139",51,113
"2150140",1,5
"2150141",13,29
"2150148",10,15
"2150149",7,26
"2150150",140,278
"2150160",65,94
"2150161",275,553
"2150162",15,28
"2150163",14,43
"2150164",389,478
"2150168",85,108
"2150183",49,141
"2150188",397,478
"2150199",509,709
"2150200",471,720
"2150201",242,357
"2150205",19,53
"2150211",130,322
"2150212",91,102
"2150216",185,511
"2150217",14,49
"2150218",74,199
"2150219",96,272
"2150220",77,162
"2150224",64,66
"2150236",146,155
"2150243",13,23
"2150246",2,0
"2150247",24,41
"2150248",5,9
"2150252",7,0
