CNTYVTD,De La GarzaR_18G_State Rep 42,RaymondD_18G_State Rep 42
"4790122",79,166
"4790124",194,661
"4790125",69,286
"4790128",42,176
"4790129",158,823
"4790130",258,1317
"4790164",69,300
"4790215",126,419
"4790218",174,610
"4790219",193,446
"4790220",89,369
"4790221",190,377
"4790226",75,333
"4790231",379,1204
"4790239",609,1523
"4790252A",233,883
"4790252B",2,9
"4790252C",11,44
"4790255",280,683
"4790266",124,455
"4790308",122,294
"4790309",332,1038
"4790310",43,143
"4790311",103,527
"4790312",75,322
"4790340",436,688
"4790341",312,490
"4790342",272,694
"4790343",364,936
"4790344",971,1699
"4790345",293,720
"4790351",43,150
"4790356",689,1395
"4790360",79,203
"4790361",138,422
"4790362",37,116
"4790363",75,250
"4790401",95,415
"4790402",94,413
"4790403",80,302
"4790404",107,430
"4790405",96,426
"4790406",53,250
"4790407",42,101
"4790413",136,581
"4790414",55,232
"4790416",65,249
"4790417",55,163
"4790423",78,289
"4790453",25,128
"4790465",59,242
